Date,Open,High,Low,Close,Adj Close,Volume,Log Returns,RSI,ATR
2012-07-16,72.73999786376953,72.98999786376953,72.22000122070312,72.52999877929688,72.52999877929688,154300,-0.004676816828722731,68.09057441334173,1.377058986987416
2012-07-17,72.47000122070312,73.6500015258789,72.0999984741211,73.06999969482422,73.06999969482422,292100,0.007417629081640457,70.03886582490114,1.3894121344710157
2012-07-18,72.77999877929688,73.08000183105469,72.51000213623047,72.94999694824219,72.94999694824219,347500,-0.001643648491401965,69.03018139359324,1.3308826744962445
2012-07-19,73.0199966430664,75.05000305175781,72.91999816894531,74.80999755859375,74.80999755859375,518300,0.025177300114315945,75.03226391348065,1.38796283223312
2012-07-20,74.1500015258789,74.81999969482422,73.58999633789062,74.37000274658203,74.37000274658203,293600,-0.0058988616030300105,71.50205058935572,1.3766800125688679
2012-07-23,73.91999816894531,74.05999755859375,73.1500015258789,73.5199966430664,73.5199966430664,458200,-0.011495239259235802,65.12714026555273,1.3433454425792948
2012-07-24,73.5199966430664,73.68000030517578,72.5199966430664,72.91999816894531,72.91999816894531,271500,-0.008194507687286468,60.99332845445008,1.3302496011171576
2012-07-25,73.22000122070312,74.38999938964844,72.7699966430664,74.19999694824219,74.19999694824219,546300,0.017401184344519618,65.95757433226099,1.3509462543646487
2012-07-26,75.06999969482422,76.08000183105469,74.48999786376953,75.80000305175781,75.80000305175781,687200,0.021334223864459847,70.93672931544093,1.388736156396638
2012-07-27,75.95999908447266,76.8499984741211,75.80000305175781,76.3499984741211,76.3499984741211,516900,0.007229678770342643,72.42952872721438,1.3645403896799697
2012-07-30,76.16000366210938,77.66999816894531,76.16000366210938,77.45999908447266,77.45999908447266,726300,0.014433650587924913,75.19830094213378,1.3749299694768244
2012-07-31,77.0,77.80000305175781,76.05999755859375,76.91999816894531,76.91999816894531,529400,-0.006995765351334115,71.43959801293587,1.4010067925973415
2012-08-01,77.69999694824219,79.0199966430664,77.48999786376953,78.33999633789062,78.33999633789062,474500,0.01829238457541461,74.98101904687954,1.450934769849038
2012-08-02,77.97000122070312,78.83000183105469,77.58000183105469,78.30000305175781,78.30000305175781,547400,-0.0005106395193778852,74.70007600550753,1.4365822862883924
2012-08-03,78.58000183105469,80.22000122070312,78.06999969482422,79.93000030517578,79.93000030517578,526900,0.020603613484013406,78.27319354225767,1.4875408034020003
2012-08-06,80.0,80.0999984741211,77.36000061035156,77.58999633789062,77.58999633789062,718700,-0.029712749748322324,64.24552824980717,1.577002021999681
2012-08-07,77.9000015258789,78.9000015258789,73.5199966430664,76.68000030517578,76.68000030517578,1824400,-0.011797583550338116,59.76022170361862,1.8486450834863108
2012-08-08,75.5,76.12000274658203,74.91000366210938,76.01000213623047,76.01000213623047,730300,-0.008775983474758914,56.62562936417816,1.8030275121281927
2012-08-09,74.62999725341797,76.25,74.5,75.51000213623047,75.51000213623047,2376000,-0.0065998125765164015,54.33512759757256,1.7992398326904646
2012-08-10,75.80000305175781,78.36000061035156,75.19999694824219,77.93000030517578,77.93000030517578,726700,0.03154586566546402,62.28653100253499,1.8964372490775296
2012-08-13,77.70999908447266,79.0199966430664,77.16000366210938,78.91000366210938,78.91000366210938,843500,0.012497017170134062,64.94828559911446,1.8938340870689225
2012-08-14,79.01000213623047,80.56999969482422,78.44999694824219,78.5,78.5,1486900,-0.00520938415326536,62.94663216667492,1.9099889913198589
2012-08-15,78.73999786376953,80.08999633789062,78.69000244140625,79.80000305175781,79.80000305175781,612400,0.016424917909978617,66.47468720665017,1.8871323732177707
2012-08-16,79.5999984741211,80.0999984741211,78.45999908447266,78.5,78.5,640600,-0.016424917909978652,60.29232586003131,1.8694800172485326
2012-08-17,78.83000183105469,79.29000091552734,77.30999755859375,77.80000305175781,77.80000305175781,462400,-0.00895715437833875,57.207116779960224,1.8773745415117513
2012-08-20,77.88999938964844,78.25,76.73999786376953,77.87999725341797,77.87999725341797,285400,0.0010276748271275274,57.47491935847381,1.8511336554202311
2012-08-21,77.87000274658203,78.62999725341797,77.04000091552734,77.27999877929688,77.27999877929688,299300,-0.00773397112873691,54.70937105344192,1.8324809898824022
2012-08-22,77.11000061035156,77.69999694824219,76.73999786376953,77.11000061035156,77.11000061035156,284900,-0.0022021923482092487,53.917757034976276,1.770160853781706
2012-08-23,77.1500015258789,77.1500015258789,75.97000122070312,76.37999725341797,76.37999725341797,587900,-0.00951213592227586,50.53617871100699,1.7280065288812827
2012-08-24,76.55999755859375,78.12999725341797,76.37999725341797,77.7300033569336,77.7300033569336,324900,0.017520480591301894,56.02848356501299,1.7295774911040482
2012-08-27,78.18000030517578,78.18000030517578,77.23999786376953,77.23999786376953,77.23999786376953,151100,-0.006323896525967064,53.69785117595315,1.6731792732684914
2012-08-28,76.93000030517578,77.48999786376953,76.62999725341797,76.76000213623047,76.76000213623047,234300,-0.0062337309337698234,51.44053948740586,1.6150950830601392
2012-08-29,76.66000366210938,76.98999786376953,75.91000366210938,76.45999908447266,76.45999908447266,313500,-0.003915982675166429,50.02508647905665,1.576873591531569
2012-08-30,76.5,77.23999786376953,76.43000030517578,77.0,77.0,193500,0.0070377055593557735,52.55570922352728,1.5220967320360104
2012-08-31,77.05000305175781,78.33000183105469,76.91999816894531,77.80000305175781,77.80000305175781,210600,0.010336048556340047,56.10220836794305,1.5140900841841078
2012-09-04,77.56999969482422,77.80000305175781,76.7300033569336,77.08000183105469,77.08000183105469,301500,-0.009297603108608408,52.31215940460108,1.4823693420869728
2012-09-05,77.31999969482422,79.58999633789062,76.94999694824219,78.16000366210938,78.16000366210938,483500,0.01391418728712009,57.00424947657533,1.5650572026270775
2012-09-06,78.75,79.36000061035156,78.0999984741211,79.27999877929688,79.27999877929688,357400,0.01422782003583155,61.261046026953764,1.5432675550273198
2012-09-07,79.05999755859375,79.20999908447266,77.93000030517578,78.1500015258789,78.1500015258789,388200,-0.014355798231879602,55.31106819693585,1.524462642475145
2012-09-10,78.22000122070312,78.66000366210938,77.68000030517578,77.80000305175781,77.80000305175781,272600,-0.004488605982463441,53.575387990721104,1.4855726935078912
2012-09-11,78.05999755859375,79.72000122070312,77.37999725341797,78.9000015258789,78.9000015258789,663200,0.014039776781207556,58.032758209477,1.5466034987776958
2012-09-12,78.86000061035156,82.20999908447266,78.66000366210938,80.19999694824219,80.19999694824219,1048800,0.016342229629393527,62.60264775148509,1.6897029218909518
2012-09-13,79.94000244140625,82.2699966430664,79.70999908447266,81.62999725341797,81.62999725341797,484900,0.017673330995915674,66.87554986738346,1.7518668245125804
2012-09-14,81.54000091552734,83.41000366210938,81.43000030517578,82.54000091552734,82.54000091552734,421800,0.011086227599818204,69.28092037606916,1.7681622911140813
2012-09-17,82.70999908447266,82.73999786376953,80.47000122070312,80.73999786376953,80.73999786376953,389700,-0.022048946449707587,59.99984652414393,1.8040076019678186
2012-09-18,80.19999694824219,80.7300033569336,79.80000305175781,79.88999938964844,79.88999938964844,316900,-0.010583408112600194,56.172993883294026,1.741578509339816
2012-09-19,80.0,80.55999755859375,79.16999816894531,80.37999725341797,80.37999725341797,834800,0.006114673997035386,57.842275036141395,1.716465715076146
2012-09-20,79.94000244140625,80.87000274658203,79.7699966430664,80.27999877929688,80.27999877929688,242500,-0.001244846128518691,57.36210326750249,1.6724328856789659
2012-09-21,80.97000122070312,81.8499984741211,78.69999694824219,79.43000030517578,79.43000030517578,921700,-0.010644374235454985,53.31096334978032,1.7779735028361046
2012-09-24,77.83000183105469,78.81999969482422,75.66000366210938,76.37000274658203,76.37000274658203,1288600,-0.03928614962267194,41.85177878366166,1.876689397827443
2012-09-25,76.86000061035156,77.0999984741211,75.36000061035156,75.44000244140625,75.44000244140625,703200,-0.012252314177014216,39.10090486197081,1.8669257168233064
2012-09-26,75.3499984741211,75.47000122070312,73.01000213623047,74.88999938964844,74.88999938964844,1151500,-0.0073173085761249436,37.52981897888297,1.9092881002268314
2012-09-27,75.05000305175781,75.88999938964844,74.41999816894531,75.20999908447266,75.20999908447266,656700,0.004263826554063001,39.06392971849122,1.877910465975138
2012-09-28,75.02999877929688,75.73999786376953,74.06999969482422,75.05999755859375,75.05999755859375,623900,-0.001996427484552846,38.58558625352889,1.8630595876158649
2012-10-01,75.33999633789062,76.04000091552734,74.5999984741211,75.01000213623047,75.01000213623047,497800,-0.0006662947199916106,38.41673526089375,1.8328412200294637
2012-10-02,75.05999755859375,76.76000213623047,75.05999755859375,75.5,75.5,752100,0.006511189794158718,41.135553699438596,1.826923990027359
2012-10-03,75.8499984741211,77.5,75.5199966430664,76.76000213623047,76.76000213623047,540200,0.01655104271451549,47.54823139659249,1.839286562168262
2012-10-04,77.12000274658203,77.58999633789062,76.20999908447266,77.37999725341797,77.37999725341797,409700,0.008044614808144026,50.410919767446366,1.8064801829718125
2012-10-05,77.55000305175781,77.77999877929688,76.44000244140625,76.52999877929688,76.52999877929688,421000,-0.011045508906457405,46.651713971053155,1.7731599083231562
